,Performer,Song,Explicit Content,Track Popularity
116,Doja Cat & Tyga,Juicy,True,82.0
117,Young Thug,Lil Baby,True,82.0
118,Young Thug,Lil Baby,True,82.0
119,Billie Eilish,When The Party's Over,False,90.0
120,Eli Young Band,Love Ain't,False,73.0
121,Lizzo,Good As Hell,False,84.0
122,Post Malone,Wow.,True,89.0
123,Sarah Jeffery,Queen Of Mean,False,71.0
124,Normani,Motivation,False,84.0
125,Khalid Featuring A Boogie Wit da Hoodie,Right Back,False,78.0
126,Ariana Grande,7 Rings,True,91.0
127,"Dove Cameron, Sofia Carson, Booboo Stewart, Cameron Boyce, Thomas Doherty, China Anne McClain & Dylan Playfair",Night Falls,False,69.0
128,"Young Thug, J. Cole & Travis Scott",The London,True,83.0
129,Marshmello & Bastille,Happier,False,90.0
130,Trippie Redd,Who Needs Love,True,79.0
131,Kelsea Ballerini,Miss Me More,False,69.0
132,Offset Featuring Cardi B,Clout,True,79.0
133,Luke Bryan,Knockin' Boots,False,76.0
134,Katy Perry,Never Really Over,False,86.0
135,Bobby Helms,Jingle Bell Rock,False,89.0
136,Jason Aldean,We Back,False,71.0
137,Doja Cat,Candy,True,86.0
138,Khalid,Talk,False,83.0
139,Harry Styles,Adore You,False,91.0
140,Cardi B & Bruno Mars,Please Me,True,79.0
141,Taylor Swift,I Forgot That You Existed,False,79.0
142,DaniLeigh Featuring Chris Brown,Easy,False,78.0
143,Panic! At The Disco,High Hopes,False,87.0
144,YK Osiris,Worth It,False,76.0
145,"Beyonce, SAINt JHN & Wizkid Featuring Blue Ivy Carter",Brown Skin Girl,,
146,DaBaby,OFF THE RIP,True,72.0
147,Meek Mill Featuring Ella Mai,24-Jul,,
148,Young Thug Featuring Lil Uzi Vert,What's The Move,True,73.0
149,Don Toliver,No Idea,False,91.0
150,Rod Wave,Heart On Ice,True,81.0
151,Ariana Grande & Social House,Boyfriend,True,85.0
152,Beyonce,Before I Let Go,False,66.0
153,"Anuel AA, Daddy Yankee, Karol G, Ozuna & J Balvin",China,False,93.0
154,"Lunay, Daddy Yankee & Bad Bunny",Soltera,False,86.0
155,Lil Tecca,Out Of Luck,True,73.0
156,Lil Tecca,Love Me,True,84.0
157,Post Malone Featuring Future & Halsey,Die For Me,True,83.0
158,Miranda Lambert,It All Comes Out In The Wash,False,65.0
159,Kevin Gates,By My Lonely,True,69.0
160,Eric Church,Some Of It,False,67.0
161,Trevor Daniel,Falling,False,97.0
162,YNW Melly,Suicidal,True,88.0
163,P!nk,Walk Me Home,False,75.0
164,Dan + Shay,All To Myself,False,73.0
165,Ed Sheeran Featuring Camila Cabello & Cardi B,South Of The Border,False,92.0
166,"benny blanco, Halsey & Khalid",Eastside,False,84.0
167,Kanye West,Follow God,False,87.0
168,Kanye West,Follow God,False,87.0
169,Tool,Fear Inoculum,False,71.0
170,21 Savage,Immortal,True,83.0
171,Ed Sheeran Featuring Khalid,Beautiful People,False,90.0
172,The Chainsmokers & Bebe Rexha,Call You Mine,False,82.0
173,Andy Williams,It's The Most Wonderful Time Of The Year,False,89.0
174,Jose Feliciano,Feliz Navidad,False,81.0
175,Kane Brown,Like A Rodeo,False,70.0
176,Taylor Swift,You Need To Calm Down,False,86.0
177,Panic! At The Disco,Into The Unknown,False,82.0
178,Post Malone,I Know,True,77.0
179,Tory Lanez Featuring Snoop Dogg,Beauty In The Benz,True,73.0
180,Gene Autry,Here Comes Santa Claus (Right Down Santa Claus Lane),False,78.0
181,Taylor Swift,Christmas Tree Farm,False,83.0
182,YoungBoy Never Broke Again,Make No Sense,True,84.0
183,Taylor Swift,Lover,False,86.0
184,Billie Eilish,Bad Guy,False,95.0
185,Khalid,Up All Night,False,88.0
186,Selena Gomez,Look At Her Now.,False,89.0
187,Kenny Chesney,Tip Of My Tongue,False,74.0
188,Roddy Ricch,Big Stepper,True,74.0
189,Lil Baby,Woah,True,87.0
190,Jon Pardi,Heartache Medication,False,73.0
191,Sam Hunt,Kinfolks,False,76.0
192,Lil Tecca,Ran$om,,
193,Lil Mosey x Gunna,Stuck In A Dream,,
194,Marshmello Featuring A Day To Remember,Rescue Me,False,68.0
195,Blake Shelton Duet With Gwen Stefani,Nobody But You,False,67.0
196,Mustard & Migos,Pure Water,True,84.0
197,Katy Perry,Small Talk,False,76.0
198,Cardi B,Press,True,74.0
199,YNW Melly & 9lokknine,223's,True,87.0
200,Kelsea Ballerini,homecoming queen?,False,74.0
201,Sam Smith & Normani,Dancing With A Stranger,False,88.0
202,"Sech, Darell, Nicky Jam, Ozuna & Anuel AA",Otro Trago,True,87.0
203,DJ Khaled Featuring SZA,Just Us,True,72.0
204,Kanye West Featuring Sunday Service Choir,Every Hour,False,74.0
205,Carrie Underwood,Southbound,False,68.0
206,Jonas Brothers,Only Human,False,86.0
207,PARTYNEXTDOOR Featuring Drake,Loyal,False,85.0
208,Dan + Shay & Justin Bieber,"10,000 Hours",,
209,Lee Brice,Rumor,False,76.0
210,Young Thug Featuring Gunna,Surf,True,70.0
211,Camila Cabello Featuring DaBaby,My Oh My,False,93.0
212,Drake,Trust Issues,True,68.0
213,Nat King Cole,The Christmas Song (Merry Christmas To You),False,86.0
214,Trippie Redd Featuring Juice WRLD & YNW Melly,6 Kiss,True,84.0
215,Luke Bryan,What She Wants Tonight,False,72.0
216,"Mustard featuring NAV, Playboi Carti & A Boogie Wit da Hoodie",Baguettes In The Face,True,82.0
217,Taylor Swift Featuring Brendon Urie,ME!,False,85.0
218,DaBaby,There He Go,True,69.0
219,Meek Mill Featuring Drake,Going Bad,True,86.0
220,Swae Lee Featuring Drake,Won't Be Late,False,76.0
221,Tory Lanez & T-Pain,Jerry Sprunger,True,81.0
222,Jonas Brothers,Like It's Christmas,False,84.0
223,Gucci Mane Featuring Kodak Black & London On Da Track,Big Boy Diamonds,True,75.0
224,Lizzo,Juice,True,82.0
225,Idina Menzel & AURORA,Into The Unknown,False,88.0
226,YoungBoy Never Broke Again,Carter Son,True,72.0
227,Ed Sheeran With Chris Stapleton & Bruno Mars,BLOW,False,71.0
228,Joji,Sanctuary,False,81.0
229,Post Malone,Saint-Tropez,,
230,Ed Sheeran Featuring YEBBA,Best Part Of Me,False,75.0
231,Post Malone Featuring SZA,Staring At The Sun,True,79.0
232,Lizzo,Truth Hurts,True,89.0
233,DJ Khaled Featuring Cardi B & 21 Savage,Wish Wish,True,74.0
234,Lil Tjay,F.N,,
235,A Boogie Wit da Hoodie,Mood Swings,True,77.0
236,YoungBoy Never Broke Again,Self Control,True,80.0
237,YoungBoy Never Broke Again,Dirty Iyanna,True,72.0
238,Khalid,Better,False,81.0
239,Ed Sheeran Featuring Chance The Rapper & PnB Rock,Cross Me,True,78.0
240,"Ariana Grande, Miley Cyrus & Lana Del Rey",Don't Call Me Angel (Charlie's Angels),,
241,The Weeknd,Blinding Lights,False,96.0
242,Young Thug,Light It Up,True,63.0
243,Travis Scott,Wake Up,True,78.0
244,Thomas Rhett,Look What God Gave Her,False,75.0
245,YoungBoy Never Broke Again,In Control,True,73.0
246,Post Malone Featuring Ozzy Osbourne & Travis Scott,Take What You Want,False,88.0
247,Runaway June,Buy My Own Drinks,False,63.0
248,DaBaby,PROLLY HEARD,True,69.0
249,"DJ Snake, J. Balvin & Tyga",Loco Contigo,False,89.0
250,Post Malone,Myself,True,78.0
251,Y2K & bbno$,Lalala,True,92.0
252,Summer Walker,Body,True,72.0
253,Daddy Yankee & Katy Perry Featuring Snow,Con Calma,False,88.0
254,Chris Janson,Good Vibes,False,66.0
255,Rick Ross Featuring Drake,Gold Roses,True,70.0
256,Taylor Swift,London Boy,False,75.0
257,Kane Brown,Homesick,False,75.0
258,Harry Styles,Lights Up,False,87.0
259,Fat Joe & Dre Featuring Eminem & Mary J. Blige,Lord Above,True,67.0
260,Kanye West Featuring Ant Clemons,Water,False,74.0
261,Blake Shelton Featuring Trace Adkins,Hell Right,False,73.0
262,Frank Ocean,In My Room,True,80.0
263,Summer Walker,Potential,True,67.0
264,J. Cole,Middle Child,True,86.0
265,Trippie Redd Featuring Lil Baby & Lil Duke,Mac 10,True,68.0
266,Miley Cyrus,Mother's Daughter,True,78.0
267,Harry Styles,She,False,83.0
268,Halsey,Nightmare,True,77.0
269,Chris Brown Featuring Drake,No Guidance,True,85.0
270,Trippie Redd,Snake Skin,True,71.0
271,Lil Uzi Vert,Futsal Shuffle 2020,True,91.0
272,Ed Sheeran Featuring Eminem & 50 Cent,Remember The Name,True,78.0
273,Juice WRLD & YoungBoy Never Broke Again,Bandit,True,93.0
274,Post Malone Featuring Young Thug,Goodbyes,True,91.0
275,Kanye West,Selah,False,77.0
276,Jason Aldean,Rearview Town,False,65.0
277,A$AP Rocky,Babushka Boi,True,78.0
278,Martin Garrix Featuring Macklemore & Patrick Stump,Summer Days,True,84.0
279,Ed Sheeran & Justin Bieber,I Don't Care,False,90.0
280,Summer Walker Featuring A Boogie Wit da Hoodie,Stretch You Out,True,75.0
281,Juice WRLD,Legends,True,87.0
282,Roddy Ricch & Gunna,Start Wit Me,True,81.0
283,Ambjaay,Uno,True,76.0
284,Taylor Swift,False God,False,73.0
285,DaBaby Featuring Offset,Baby Sitter,True,80.0
286,"Dreamville Featuring J. Cole, Lute & DaBaby",Under The Sun,True,79.0
287,"Megan Thee Stallion, Nicki Minaj & Ty Dolla $ign",Hot Girl Summer,True,80.0
288,Dean Martin,"Let It Snow, Let It Snow, Let It Snow",False,86.0
289,YoungBoy Never Broke Again,Time I'm On,True,69.0
290,Karol G & Nicki Minaj,Tusa,False,97.0
291,Lewis Capaldi,Someone You Loved,False,95.0
292,Lil Nas X,Panini,False,85.0
293,Juice WRLD,Empty,True,81.0
294,Dustin Lynch,Ridin' Roads,False,74.0
295,Big Sean,Single Again,True,73.0
296,Kanye West,Closed On Sunday,False,79.0
297,YoungBoy Never Broke Again,Lonely Child,True,73.0
298,Taylor Swift Featuring Dixie Chicks,Soon You'll Get Better,,
299,Camila Cabello,Shameless,False,78.0
300,"Jhay Cortez, J Balvin & Bad Bunny",No Me Conoce,False,85.0
301,Lady Antebellum,What If I Never Get Over You,False,74.0
302,Juice WRLD,Let Me Know (I Wonder Why Freestyle),True,85.0
303,Kanye West,God Is,False,87.0
304,Kanye West,God Is,False,87.0
305,Maren Morris,GIRL,False,71.0
306,Lil Tecca,Did It Again,True,83.0
307,Wham!,Last Christmas,False,88.0
308,DaBaby Featuring Migos,RAW SHIT,True,77.0
309,Frank Ocean,DHL,True,76.0
310,Selena Gomez,Lose You To Love Me,False,96.0
311,City Girls,Act Up,True,79.0
312,Cole Swindell,Love You Too Late,False,68.0
313,Mustard Featuring Roddy Ricch,Ballin',True,89.0
314,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,It's Beginning To Look A Lot Like Christmas,False,85.0
315,Roddy Ricch,The Box,True,93.0
316,Marshmello Featuring CHVRCHES,Here With Me,False,84.0
317,NLE Choppa,Shotta Flow,True,81.0
318,Russ & BIA,BEST ON EARTH,True,82.0
319,Joji,Slow Dancing In The Dark,True,86.0
320,Megan Thee Stallion,Big Ole Freak,True,73.0
321,Big Sean Featuring A$AP Ferg & Hit-Boy,Bezerk,True,75.0
322,Luke Combs,Even Though I'm Leaving,False,79.0
323,Panic! At The Disco,"Hey Look Ma, I Made It",False,79.0
324,Logic Featuring Eminem,Homicide,True,78.0
325,Kygo X Whitney Houston,Higher Love,,
326,Saweetie,My Type,True,81.0
327,Shawn Mendes,If I Can't Have You,False,85.0
328,"DJ Khaled Featuring Meek Mill, J Balvin, Lil Baby & Jeremih",You Stay,True,67.0
329,Post Malone & Swae Lee,Sunflower (Spider-Man: Into The Spider-Verse),,
330,"Layton Greene, Lil Baby, City Girls & PnB Rock",Leave Em Alone,,
331,Taylor Swift,Death By A Thousand Cuts,False,74.0
332,Blueface & Rich The Kid,Daddy,True,79.0
333,NF,The Search,False,75.0
334,Brett Eldredge,Love Someone,False,68.0
335,Idina Menzel & Evan Rachel Wood,Show Yourself,False,83.0
336,Summer Walker,Over It,True,69.0
337,j-hope Featuring Becky G.,Chicken Noodle Soup,False,76.0
338,Summer Walker X Drake,Girls Need Love,,
339,Ava Max,Sweet But Psycho,False,88.0
340,Beyonce,Spirit,False,67.0
341,Arizona Zervas,Roxanne,True,99.0
342,Kane Brown,For My Daughter,False,71.0
343,"Dreamville Featuring JID, Bas, J. Cole, EARTHGANG & Young Nudy",Down Bad,True,75.0
344,Summer Walker Featuring Jhene Aiko,I'll Kill You,True,75.0
345,for KING & COUNTRY,God Only Knows,False,65.0
346,"YG, Tyga & Jon Z",Go Loko,True,79.0
347,Polo G Featuring Lil Tjay,Pop Out,True,85.0
348,Chris Young,Raised On Country,False,67.0
349,Billie Eilish,All The Good Girls Go To Hell,False,86.0
350,Dan + Shay,Speechless,False,79.0
351,Jhene Aiko Featuring Big Sean,None Of Your Concern,True,77.0
352,Chase Rice,Eyes On You,False,74.0
353,Drake Featuring Rick Ross,Money In The Grave,True,89.0
354,Ed Sheeran & Travis Scott,Antisocial,False,77.0
355,Kanye West Featuring Ty Dolla $ign & Ant Clemons,Everything We Need,False,77.0
356,Taylor Swift,It's Nice To Have A Friend,,
357,Kanye West Featuring Clipse & Kenny G,Use This Gospel,False,77.0
358,Andy Williams,Happy Holiday / The Holiday Season,False,72.0
359,Moneybagg Yo X Megan Thee Stallon,All Dat,,
360,Ozuna x Daddy Yankee x J Balvin x Farruko x Anuel AA,Baila Baila Baila,,
361,"Beyonce, JAY-Z & Childish Gambino Featuring Oumou Sangare",Mood 4 Eva,False,65.0
362,Taylor Swift,Daylight,False,72.0
363,Post Malone,Circles,False,98.0
364,DaBaby & Nicki Minaj,iPHONE,True,71.0
365,Post Malone Featuring Meek Mill & Lil Baby,On The Road,True,82.0
366,Billie Eilish,Ocean Eyes,False,85.0
367,Lil Nas X & Cardi B,Rodeo,True,79.0
368,Miley Cyrus,Slide Away,False,82.0
369,Drake,Behind Barz,True,79.0
370,Young Thug Featuring Gunna,Hot,True,87.0
371,Lil Baby Featuring Future,Out The Mud,True,72.0
372,Taylor Swift,I Think He Knows,False,75.0
373,Juice WRLD,Robbery,True,89.0
374,Drake,Dreams Money Can Buy,True,62.0
375,Alicia Keys Featuring Miguel,Show Me Love,False,68.0
376,Russell Dickerson,Every Little Thing,False,75.0
377,Thomas Rhett,Remember You Young,False,74.0
378,Trippie Redd Featuring DaBaby,Death,True,83.0
379,Luke Combs & Brooks & Dunn,"1, 2 Many",False,73.0
380,Young Thug Featuring Machine Gun Kelly,Ecstasy,True,63.0
381,Calboy,Envy Me,True,78.0
382,Lil Nas X Featuring Billy Ray Cyrus,Old Town Road,False,91.0
383,Tory Lanez Featuring Chris Brown,The Take,True,75.0
384,Kanye West,On God,False,77.0
385,A Boogie Wit da Hoodie Featuring Lil Uzi Vert,Reply,True,80.0
386,Drake,How About Now,,
387,Roddy Ricch Featuring A Boogie Wit da Hoodie,Tip Toe,True,81.0
388,Michael Jackson,Thriller,False,69.0
389,Lil Tecca,Shots,True,77.0
390,NF,Leave Me Alone,False,75.0
391,Bad Bunny,Vete,True,94.0
392,Taylor Swift,Cruel Summer,False,79.0
393,Summer Walker & Usher,Come Thru,True,80.0
394,Post Malone,I'm Gonna Be,True,79.0
