,Performer,Song,Explicit Content,Track Popularity
6160,Chely Wright,Single White Female,False,47.0
6161,Hoobastank,Running Away,False,51.0
6162,Weezer,Perfect Situation,False,56.0
6163,Joe Dolce,Shaddap You Face,False,43.0
6164,Toby Keith,A Little Too Late,False,40.0
6165,Kenny Chesney,Pirate Flag,False,57.0
6166,Johnny Wakelin & The Kinshasa Band,"Black Superman - ""Muhammad Ali""",False,19.0
6167,Brooks & Dunn,That's What She Gets For Loving Me,False,35.0
6168,Jamie O'Neal,Somebody's Hero,False,41.0
6169,Selena Gomez,Bad Liar,False,75.0
6170,Raybon Bros.,Butterfly Kisses,False,8.0
6171,Rod Stewart,Ain't Love A Bitch,False,28.0
6172,Phil Collins,Both Sides Of The Story,False,48.0
6173,Debbie Gibson,Anything Is Possible,False,20.0
6174,The Dovells,Bristol Twistin' Annie,False,12.0
6175,Shanice,Silent Prayer,False,22.0
6176,The J. Geils Band,Come Back,False,35.0
6177,Nirvana,Come As You Are,False,73.0
6178,Joan Baez,Diamonds And Rust,False,61.0
6179,The Motels,Remember The Night,,
6180,Rihanna,California King Bed,False,60.0
6181,Sia Featuring Sean Paul,Cheap Thrills,False,73.0
6182,Dan Seals,Bop,False,54.0
6183,Young Thug And Travis Scott Featuring Quavo,Pick Up The Phone,,
6184,Bobby Bland,Stormy Monday Blues,False,29.0
6185,Clivilles & Cole,A Deeper Love/Pride In The Name Of Love,,
6186,Method Man,Bring The Pain,True,63.0
6187,Nicki Minaj Featuring 2 Chainz,Beez In The Trap,True,61.0
6188,Saliva,Always,False,64.0
6189,Jason Aldean,Crazy Town,False,53.0
6190,Gloria Estefan,Reach,False,32.0
6191,Bobby Valentino,Tell Me,False,54.0
6192,The Pharcyde,Passin' Me By,False,68.0
6193,Brandy,Right Here (Departed),False,52.0
6194,Commodores,Only You,False,19.0
6195,Evie Sands,Any Way That You Want Me,False,17.0
6196,Toby Keith,Country Comes To Town,False,37.0
6197,Brooks & Dunn,Put A Girl In It,False,42.0
6198,Kenny Chesney,Save It For A Rainy Day,False,59.0
6199,Leon & Mary Russell,Rainbow In Your Eyes,False,17.0
6200,LeAnn Rimes,Probably Wouldn't Be This Way,False,45.0
6201,Rodney Atkins,Cleaning This Gun (Come On In Boy),False,60.0
6202,David Nail,Red Light,False,52.0
6203,Tim McGraw,Southern Girl,False,53.0
6204,Jeremih Featuring J. Cole,Planez,True,73.0
6205,Robin Thicke,Sex Therapy,False,50.0
6206,Neon Trees,Animal,False,70.0
6207,Ne-Yo Featuring Jamie Foxx & Fabolous,She Got Her Own,,
6208,Jason Aldean,Any Ol' Barstool,False,67.0
6209,Carrie Underwood,Dirty Laundry,False,58.0
6210,Fred Wesley & The J.B.'s,Doing It To Death,False,41.0
6211,Harry Chapin,Sequel,False,32.0
6212,Lil Bow Wow,Bow Wow (That's My Name),,
6213,Fontella Bass & Bobby McClure,Don't Mess Up A Good Thing,False,27.0
6214,Faith Hill,Cry,False,42.0
6215,Survivor,Poor Man's Son,False,19.0
6216,Johnny Kemp,"Birthday Suit (From ""Sing"")",,
6217,Jimmy Wayne,Do You Believe Me Now,False,41.0
6218,Lil Rob,Summer Nights,True,59.0
6219,Blake Shelton,All About Tonight,False,47.0
6220,Winger,Can't Get Enuff,False,11.0
6221,Dino,24-Jul,,
6222,"Missy ""Misdemeanor"" Elliott Featuring Ginuwine & Tweet",Take Away,,
6223,Savage Featuring Soulja Boy Tell'em,Swing,True,57.0
6224,"DJ Khaled Featuring Nicki Minaj, Chris Brown, August Alsina, Jeremih, Future & Rick Ross",Do You Mind,True,61.0
6225,Slim Featuring Yung Joc,So Fly,False,38.0
6226,Jake Owen,Alone With You,False,53.0
6227,Toby Keith,Stays In Mexico,False,43.0
6228,Norah Jones,Don't Know Why,False,74.0
6229,Elastica,Connection,False,50.0
6230,Chris Young,Aw Naw,False,61.0
6231,Jocelyn Enriquez,A Little Bit Of Ecstasy,False,35.0
6232,Toby Keith,Big Blue Note,False,37.0
6233,Randy Houser,Boots On,False,56.0
6234,The Dramatics,Be My Girl,False,40.0
6235,Sneaker Pimps,6 Underground,False,50.0
6236,Rascal Flatts,Rewind,False,55.0
6237,Tom Petty And The Heartbreakers,Breakdown,False,64.0
6238,Future,Commas,True,70.0
6239,Shinedown,Second Chance,False,68.0
6240,Clay Walker,She Won't Be Lonely Long,False,66.0
6241,Alan Jackson,Country Boy,False,61.0
6242,The Flaming Lips,She Don't Use Jelly,False,60.0
6243,Vanessa Hudgens,Come Back To Me,False,48.0
6244,Travis Scott,Butterfly Effect,False,85.0
6245,Jake Owen,Anywhere With You,False,58.0
6246,Simply Red,Something Got Me Started,False,41.0
6247,Dinah Washington,September In The Rain,False,50.0
6248,Whitesnake,The Deeper The Love,False,44.0
6249,Destiny's Child,Bug A Boo,False,53.0
6250,Cinderella,Shelter Me,False,42.0
6251,The Time,The Bird,True,42.0
6252,Barbara Lewis,Puppy Love,False,18.0
6253,Kane Roberts,Does Anybody Really Fall In Love Anymore?,False,24.0
6254,The Ames Brothers,China Doll,,
6255,Bon Jovi,Runaway,False,70.0
6256,Celi Bee & The Buzzy Bunch,Superman,False,21.0
6257,Billy Ray Cyrus,Busy Man,False,42.0
6258,Lone Justice,Shelter,False,27.0
6259,FRENTE!,Bizarre Love Triangle,False,53.0
6260,The Bucketheads,The Bomb! (These Sounds Fall Into My Mind),False,17.0
6261,Smooth,Strawberries,False,19.0
6262,Angelina,Release Me,False,31.0
6263,Alicia Keys,Teenage Love Affair,False,53.0
6264,Enur Featuring Natasja,Calabria 2008,False,48.0
6265,Keith Urban Featuring Eric Church,Raise 'Em Up,False,55.0
6266,Thomas Rhett,Star Of The Show,False,59.0
6267,Le Click,Call Me,False,30.0
6268,DJ Taz Featuring Raheem The Dream,That's Right,True,28.0
6269,7 Mile,Do Your Thing,,
6270,Anna Nalick,Breathe (2 AM),False,66.0
6271,Jocelyn Enriquez,Do You Miss Me,False,40.0
6272,Velvet Revolver,Slither,False,64.0
6273,Daya,"Sit Still, Look Pretty",False,71.0
6274,Kool & The Gang,Spirit Of The Boogie/Summer Madness,,
6275,Elvis Presley,(Marie's The Name) His Latest Flame,False,56.0
6276,Connie Francis,Teddy,False,25.0
6277,Christina Milian Featuring Young Jeezy,Say I,False,43.0
6278,Electric Light Orchestra,Do Ya,False,55.0
6279,will.i.am & Nicki Minaj,Check It Out,True,43.0
6280,Bell Biv DeVoe,B.B.D. (I Thought It Was Me)?,,
6281,Marty Balin,Atlanta Lady (Something About Your Love),False,27.0
6282,The Hollies,Stop In The Name Of Love,False,26.0
6283,All-4-One,"Someday (From ""The Hunchback Of Notre Dame"")",False,34.0
6284,Celine Dion,(If There Was) Any Other Way,False,28.0
6285,"Hamilton, Joe Frank & Reynolds",Daisy Mae,False,19.0
6286,Five Star,Can't Wait Another Minute,False,21.0
6287,Tory Lanez & Rich The Kid,Talk To Me,True,75.0
6288,O.T. Genasis Featuring Young Dolph,Cut It,True,65.0
6289,Granger Smith,Backroad Song,False,62.0
6290,Carrie Underwood,Don't Forget To Remember Me,False,50.0
6291,Jake Holmes,So Close,False,8.0
6292,Trisha Yearwood,Powerful Thing,False,14.0
6293,Shades,Tell Me (I'll Be Around),,
6294,Los Del Rio,Macarena,False,60.0
6295,Webbie Featuring Bun B,Give Me That,True,38.0
6296,Elvis Costello And The Attractions,Everyday I Write The Book,False,49.0
6297,Street People,Jennifer Tomkins,False,3.0
6298,Nu Flavor,Heaven,False,41.0
6299,Danny Wilson,Mary's Prayer,False,56.0
6300,Sean Paul Featuring Sasha,I'm Still In Love With You,False,70.0
6301,Pete Wingfield,Eighteen With A Bullet,,
6302,The Kane Gang,Motortown,,
6303,Rascal Flatts,Mayberry,False,51.0
6304,Thomas Rhett,Life Changes,False,67.0
6305,Bebe Rexha,I'm A Mess,False,82.0
6306,Michel'le,No More Lies,False,40.0
6307,Emeli Sande,Next To Me,False,55.0
6308,Archie Bell & The Drells,I Can't Stop Dancing,False,27.0
6309,The Drifters,On Broadway,False,34.0
6310,Carrie Underwood Featuring Randy Travis,I Told You So,False,50.0
6311,Sonny,Laugh At Me,False,17.0
6312,Sam Cooke,Good Times,False,51.0
6313,Santana,Everybody's Everything,False,33.0
6314,John Denver,Fly Away,False,45.0
6315,The Searchers,Needles And Pins,False,58.0
6316,Color Me Badd,"Forever Love (From ""Mo' Money"")",,
6317,Daughtry,No Surprise,False,59.0
6318,The Rembrandts,I'll Be There For You/This House Is Not A Home,,
6319,Percy Sledge,It Tears Me Up,False,27.0
6320,Elvis Presley With The Jordanaires,I Gotta Know,,
6321,Damita Jo,I'll Save The Last Dance For You,False,15.0
6322,Prince And The N.P.G.,Money Don't Matter 2 Night,,
6323,Al Stewart,Midnight Rocks,False,13.0
6324,Duffy,Mercy,False,58.0
6325,Jackson 5,Get It Together,False,34.0
6326,Sugar Ray,Falls Apart,False,41.0
6327,Albert Hammond,I'm A Train,False,45.0
6328,Marshmello Featuring CHVRCHES,Here With Me,False,85.0
6329,George Strait,I Saw God Today,False,55.0
6330,XXXTentacion,Look At Me!,True,79.0
6331,Sara Evans,I Keep Looking,False,29.0
6332,Purple Ribbon All-Stars,Kryptonite (I'm On It),,
6333,Jennifer Rush (Duet With Elton John),Flames Of Paradise,False,7.0
6334,Alannah Myles,Love Is,False,42.0
6335,En Vogue,Love Don't Love You,False,22.0
6336,Patty & The Emblems,"Mixed-Up, Shook-Up, Girl",,
6337,Crabby Appleton,Go Back,False,27.0
6338,Sneaker,More Than Just The Two Of Us,,
6339,Paul Carrack,I Need You,False,22.0
6340,Nancy Wilson,"Face It Girl, It's Over",False,19.0
6341,The Michael Zager Band,Let's All Chant,False,49.0
6342,Pink Lady,Kiss In The Dark,False,16.0
6343,Donnie Iris,Love Is Like A Rock,False,41.0
6344,Linda Ronstadt,I Knew You When,False,23.0
6345,Rob Base & D.J. E-Z Rock,It Takes Two,False,58.0
6346,Kylie Minogue,It's No Secret,False,27.0
6347,Tamia,Imagination,False,35.0
6348,Audioslave,Like A Stone,False,77.0
6349,Jet,Look What You've Done,False,62.0
6350,Jazmine Sullivan,Need U Bad,False,58.0
6351,KC And The Sunshine Band,I Like To Do It,False,22.0
6352,Eye To Eye,Nice Girls,False,22.0
6353,Alison Moyet,Invisible,False,38.0
6354,Stacy Lattisaw,Let Me Be Your Angel,False,43.0
6355,Edwin McCain,I Could Not Ask For More,False,57.0
6356,Toby Keith,I'm Just Talkin' About Tonight,False,44.0
6357,Terri Clark,Girls Lie Too,False,39.0
6358,The Glass Bottle,I Ain't Got Time Anymore,False,6.0
6359,The Doobie Brothers,Jesus Is Just Alright,False,49.0
6360,Paul Davis,I Go Crazy,False,55.0
6361,Alicia Bridges,I Love The Nightlife (Disco 'round),False,45.0
6362,T.G. Sheppard,I Loved 'em Every One,False,49.0
6363,Alabama,Love In The First Degree,False,42.0
6364,Jeff Lorber & Karyn White,Facts Of Love,False,35.0
6365,Staind,It's Been Awhile,True,66.0
6366,Gary Allan,Nothing On But The Radio,False,56.0
6367,Carrie Underwood,Just A Dream,False,56.0
6368,Gallery,Nice To Be With You,False,24.0
6369,Stevie B,In My Eyes,False,15.0
6370,Fat Joe Featuring J. Holiday,I Won't Tell,,
6371,Michael Murphey,Geronimo's Cadillac,False,32.0
6372,Wayne Wonder,No Letting Go,False,63.0
6373,Freddie And The Dreamers,I'm Telling You Now,False,31.0
6374,The Miracles,My Girl Has Gone,False,25.0
6375,Sean Kingston,Me Love,False,54.0
6376,The Beatles,I Saw Her Standing There,False,72.0
6377,Coldplay,Every Teardrop Is A Waterfall,False,70.0
6378,The Blue-Belles,I Sold My Heart To The Junkman,False,1.0
6379,The 5th Dimension,Go Where You Wanna Go,False,18.0
6380,Della Reese,Not One Minute More,False,16.0
6381,Van Halen,Dreams,False,58.0
6382,Timi Yuro,Make The World Go Away,False,27.0
6383,"10,000 Maniacs",More Than This,,
6384,Sue Thompson,Have A Good Time,False,22.0
6385,The Ray Charles Singers,One More Time,,
6386,Keyshia Cole,I Should Have Cheated,False,58.0
6387,T.I.,Let's Get Away,True,43.0
6388,Luke Combs,One Number Away,False,75.0
6389,Tim McGraw,My Little Girl,False,54.0
6390,Don Covay & The Goodtimers,"Mercy, Mercy",False,51.0
6391,Eddy Arnold,I Want To Go With You,False,11.0
6392,Yellowcard,Ocean Avenue,False,73.0
6393,Loverboy,Notorious,False,29.0
6394,Raspberries,Let's Pretend,False,27.0
6395,Al Green,Keep Me Cryin',False,20.0
6396,Andru Donalds,Mishale,False,45.0
6397,Alan Jackson,It Must Be Love,False,53.0
6398,Montgomery Gentry,If You Ever Stop Loving Me,False,42.0
6399,Good Charlotte,I Don't Wanna Be In Love (Dance Floor Anthem),False,58.0
6400,Teena Marie,I Need Your Lovin',False,45.0
6401,Lisa Lisa And Clult Jam With Full Force,I Wonder If I Take You Home,,
6402,Lee Ann Womack,I'll Think Of A Reason Later,False,44.0
6403,Rick Pinette & Oak,King Of The Hill,,
6404,Lina Santiago,Feels So Good (Show Me Your Love),,
6405,Miranda Lambert,Mama's Broken Heart,False,67.0
6406,Diana King,I Say A Little Prayer,False,47.0
6407,Jerrod Niemann,"Lover, Lover",False,59.0
6408,The J. Geils Band,One Last Kiss,False,22.0
6409,Stephen Bishop,It Might Be You,False,46.0
6410,Luke Bryan Featuring Karen Fairchild,Home Alone Tonight,False,59.0
6411,Jeremih Featuring 50 Cent,Down On Me,False,72.0
6412,Jann Arden,"Insensitive (From ""Bed Of Roses"")",,
6413,Phil Vassar,In A Real Love,False,36.0
6414,Mr. Cheeks,"Lights, Camera, Action!",True,44.0
6415,Avril Lavigne,Keep Holding On,False,65.0
6416,The 5th Dimension,"Love's Lines, Angles And Rhymes",False,23.0
6417,Warren G,I Shot The Sheriff,True,30.0
6418,Del Shannon,Handy Man,False,19.0
6419,John Taylor,I Do What I Do... (Theme For 9 1/2 Weeks),,
6420,Michael Jackson,Jam,False,59.0
6421,The Innocents,Gee Whiz,False,13.0
6422,Jesse Belvin,Guess Who,False,13.0
6423,Yo Gotti Featuring Nicki Minaj,Down In The DM,True,64.0
6424,The Fleetwoods,Goodnight My Love,False,21.0
6425,Toad The Wet Sprocket,Fall Down,False,47.0
6426,The S.O.U.L. S.Y.S.T.E.M.,It's Gonna Be A Lovely Day,,
6427,Down A.K.A. Kilo,Lean Like A Cholo,True,51.0
6428,Imani Coppola,Legend Of A Cowgirl,False,25.0
6429,One 2 Many,Downtown,,
6430,Bourgeois Tagg,I Don't Mind At All,,
6431,Uriah Heep,Easy Livin,False,57.0
6432,Richie Furay,I Still Have Dreams,,
6433,Bette Midler,My Mother's Eyes,False,12.0
6434,Cheri,Murphy's Law,False,38.0
6435,Barry Manilow,Memory,False,35.0
6436,Robert Plant,In The Mood,False,51.0
6437,Sounds Of Sunshine,Love Means (You Never Have To Say You're Sorry),,
6438,"Emerson, Lake & Palmer",From The Beginning,False,56.0
6439,Mary Macgregor,Good Friend,False,35.0
6440,Stevie Woods,Just Can't Win 'em All,,
6441,Blessid Union Of Souls,I Wanna Be There,False,37.0
6442,Nielsen/Pearson,If You Should Sail,,
6443,Tim McGraw,For A Little While,False,38.0
6444,Travis Tritt,Love Of A Woman,False,46.0
6445,Diamond Rio,I Believe,False,36.0
6446,B.B. King,I Like To Live The Love,False,42.0
6447,The Marshall Tucker Band,Fire On The Mountain,False,59.0
6448,Bertie Higgins,Key Largo,False,46.0
6449,REO Speedwagon,In My Dreams,False,54.0
6450,T.I. Featuring Iggy Azalea,No Mediocre,True,61.0
6451,The Band Perry,If I Die Young,False,69.0
6452,Nancy Martinez,For Tonight,False,31.0
6453,Celine Dion,Love Can Move Mountains,False,42.0
6454,Calvin Harris & Disciples,How Deep Is Your Love,False,78.0
6455,Dee Dee Sharp,Gravy (For My Mashed Potatoes),False,35.0
6456,The Orlons,Not Me,False,14.0
6457,Sam Cooke,Frankie And Johnny,False,26.0
6458,The Bachelors,Marie,False,19.0
6459,The Routers,Let's Go (pony),False,14.0
6460,INOJ/LATHUN,Love You Down,,
6461,Garry Mills,Look For A Star - Part I,,
6462,Expose,I Wish The Phone Would Ring,False,12.0
6463,The Platters,I Love You 1000 Times,False,30.0
6464,Teddy Geiger,For You I Will (Confidence),False,48.0
6465,Christina Perri,Human,False,66.0
6466,The Killers,Human,False,74.0
6467,Cassidy Featuring Swizz Beatz,My Drink N' My 2 Step,True,46.0
6468,Boz Scaggs,Heart Of Mine,False,46.0
6469,Da Brat,Fa All Y'all,True,32.0
6470,George Strait,Meanwhile,False,29.0
6471,Lenny Kravitz,Fly Away,False,71.0
6472,Rascal Flatts,Fast Cars And Freedom,False,56.0
6473,Bonnie Pointer,"I Can't Help Myself (Sugar Pie, Honey Bunch)",,
6474,The Hollies,Jennifer Eccles,False,33.0
6475,Point Blank,Nicole,False,27.0
6476,Heavy D & The Boyz,Nuttin' But Love,False,43.0
6477,Luke Bryan,Kiss Tomorrow Goodbye,False,58.0
6478,Pitbull Featuring Chris Brown,Fun,False,62.0
6479,Haircut One Hundred,Love Plus One,,
6480,Lonestar,Not A Day Goes By,False,46.0
6481,George Strait,I Hate Everything,False,51.0
6482,George Strait,Go On,False,40.0
6483,Tove Lo,Habits (Stay High),False,69.0
6484,Zac Brown Band,Highway 20 Ride,False,58.0
6485,Darryl Worley,I Miss My Friend,False,46.0
6486,Florida Georgia Line Featuring Tim McGraw,May We All,False,71.0
6487,Sisqo Featuring Make It Hot,Got To Get It,True,45.0
6488,Thomas Rhett,It Goes Like This,False,64.0
6489,Clipse,Grindin',True,56.0
6490,N*E*R*D & Rihanna,Lemon,,
6491,Neil Diamond,I Am...I Said/Done Too Soon,,
6492,Chicago,Old Days,False,42.0
6493,Rascal Flatts,Life Is A Highway,False,73.0
6494,Lesley Gore,Maybe I Know,False,38.0
6495,Three Dog Night,Let Me Serenade You,False,22.0
6496,The Kingston Trio,Greenback Dollar,False,38.0
6497,Barry & The Tamerlanes,I Wonder What She's Doing Tonight,False,15.0
6498,Henry Mancini,Mr. Lucky,False,25.0
6499,? (Question Mark) & The Mysterians,I Need Somebody,False,24.0
6500,The Mark IV,I Got A Wife,,
6501,Bryan Adams,Hearts On Fire,False,24.0
6502,Fergie,L.A.LOVE (la la),,
6503,Merle Haggard,If We Make It Through December,False,46.0
6504,B.J. Thomas,Mighty Clouds Of Joy,False,13.0
6505,Snoop Dogg Featuring The-Dream,Gangsta Luv,False,50.0
6506,Toni Braxton,I Belong To You/How Many Ways,,
6507,Rozalla,Everybody's Free (To Feel Good),,
6508,T.I. Featuring Keri Hilson,Got Your Back,True,49.0
6509,Animotion,Let Him Go,False,12.0
6510,CeCe Peniston,I'm In The Mood,False,22.0
6511,Pitbull Featuring T-Pain,Hey Baby (Drop It To The Floor),False,66.0
6512,Evelyn King,I'm In Love,False,46.0
6513,Blessid Union Of Souls,Hey Leonardo (She Likes Me For Me),False,51.0
6514,Dixie Chicks,If I Fall You're Going Down With Me,False,42.0
6515,Gladys Knight And The Pips,I Wish It Would Rain,False,28.0
6516,Richard Harris,My Boy,False,14.0
6517,Dann Rogers,Looks Like Love Again,,
6518,Luke Bryan,I See You,False,58.0
6519,Brenda Lee,Johnny One Time,False,26.0
6520,Rick James,Mary Jane,False,63.0
6521,Zac Brown Band,Homegrown,False,68.0
6522,Rich The Kid Featuring Kendrick Lamar,New Freezer,True,71.0
6523,Bobby Curtola,Fortuneteller,False,1.0
6524,The Royalettes,It's Gonna Take A Miracle,,
6525,Ella Henderson,Ghost,False,58.0
6526,Ronnie Milsap,It Was Almost Like A Song,False,38.0
6527,Stacy Lattisaw,Miracles,False,19.0
6528,Billie Myers,Kiss The Rain,False,52.0
6529,Brad Paisley,Little Moments,False,52.0
6530,Zac Brown Band,Keep Me In Mind,False,57.0
6531,Dee Dee Warwick,I Want To Be With You,False,6.0
6532,Ray Price,For The Good Times,False,45.0
6533,Emerson Drive,Fall Into Me,False,43.0
6534,3LW,No More (Baby I'ma Do Right),False,57.0
6535,112,It's Over Now,False,64.0
6536,Herman's Hermits,Just A Little Bit Better,False,18.0
6537,Elton John,Honky Cat,False,58.0
6538,Redman/Method Man,"How High (From ""The Show"")",,
6539,Young Jeezy,I Luv It,,
6540,The Rolling Stones,It's Only Rock 'N Roll (But I Like It),False,57.0
6541,Connie Francis,I'm Gonna' Be Warm This Winter,False,36.0
6542,The Cleftones,Heart And Soul,False,40.0
6543,Kenny Loggins,I'm Free (Heaven Helps The Man),False,51.0
6544,Pat Boone,For A Penny,,
6545,Jerry Vale,Have You Looked Into Your Heart,False,22.0
6546,Elton John,Levon,False,57.0
6547,Frankie J,More Than Words,False,37.0
6548,Billy Stewart,I Do Love You,False,44.0
6549,Mint Condition,If You Love Me,False,40.0
6550,Heart,Even It Up,False,36.0
6551,Bonnie Raitt,Not The Only One,False,39.0
6552,M People,Moving On Up,False,62.0
6553,Ray Charles,Eleanor Rigby,,
6554,The Miracles,I Gotta Dance To Keep From Crying,False,21.0
6555,The Intruders,I'll Always Love My Mama (Part I),,
6556,Sean Kingston Featuring Nicki Minaj,Letting Go (Dutty Love),False,59.0
6557,Rae Sremmurd,No Flex Zone,True,62.0
6558,The Blue Ridge Rangers,Hearts Of Stone,,
6559,"DJ Khaled Featuring Drake, Rick Ross & Lil Wayne",No New Friends (SFTB Remix),True,57.0
6560,Vitamin C,Graduation (Friends Forever),False,57.0
6561,Gretchen Wilson,Here For The Party,False,55.0
6562,Beyonce,Ego,False,57.0
6563,Martin Garrix & Bebe Rexha,In The Name Of Love,False,82.0
6564,Kenny Loggins,Forever,False,48.0
6565,American Hi-Fi,Flavor Of The Weak,True,62.0
6566,The Stylistics,Heavy Fallin' Out,False,23.0
6567,Calboy,Envy Me,True,79.0
6568,Bobbie Gentry,Fancy,False,41.0
6569,Millie Jackson,"My Man, A Sweet Man",False,45.0
6570,Lonestar,Let's Be Us Again,False,38.0
6571,Stories,I'm Coming Home,False,6.0
6572,Elisa Fiorillo,On The Way Up,,
6573,Ghost Town DJ's,My Boo,False,64.0
6574,The Wreckers,Leave The Pieces,False,53.0
6575,"DJ Khaled Featuring Chris Brown, August Alsina, Future & Jeremih",Hold You Down,True,62.0
6576,Gabrielle,Dreams,False,42.0
6577,Tracy Lawrence,Lessons Learned,False,37.0
6578,Toby Keith,God Love Her,False,51.0
6579,Kid Frost,La Raza,False,52.0
6580,Jeffrey Osborne,I Really Don't Need No Light,False,33.0
6581,The Other Ones,Holiday,False,18.0
6582,Father M.C.,Everything's Gonna Be Alright,,
6583,Bow Wow Featuring J-Kwon & Jermaine Dupri,Fresh Azimiz,,
6584,The Supremes,I'm Gonna Let My Heart Do The Walking,False,11.0
6585,Dorrough,Ice Cream Paint Job,True,57.0
6586,Dua Lipa,New Rules,False,84.0
6587,Florida Georgia Line,Get Your Shine On,False,62.0
6588,Neon Trees,Everybody Talks,False,74.0
6589,Herman's Hermits,"I'm Henry VIII, I Am",False,26.0
6590,Brenda Holloway,Every Little Bit Hurts,False,46.0
6591,Taylor Swift Featuring Ed Sheeran & Future,End Game,False,70.0
6592,Barry Manilow,Even Now,False,53.0
6593,The Dixie Cups,Iko Iko,False,52.0
6594,Al Martino,Living A Lie,False,9.0
6595,Kenny Chesney,Never Wanted Nothing More,False,50.0
6596,Think,Once You Understand,,
6597,5000 Volts,I'm On Fire,False,16.0
6598,Johnnie Taylor,Jody's Got Your Girl And Gone,False,39.0
6599,Selena Gomez & The Scene,Naturally,False,64.0
6600,Robert Ellis Orral With Carlene Carter,I Couldn't Say No,,
6601,Luther Vandross,Never Too Much,False,71.0
6602,Madness,It Must Be Love,False,59.0
6603,Shania Twain,Man! I Feel Like A Woman!,False,75.0
6604,Conway Twitty,Is A Blue Bird Blue,,
6605,Rod Stewart,Having A Party,False,34.0
6606,Tyrone Davis,Give It Up (turn It Loose),False,22.0
6607,Guy,Let's Chill,False,56.0
6608,Kenny Chesney With The Wailers,Everybody Wants To Go To Heaven,False,46.0
6609,The Cure,High,False,44.0
6610,Millie Jackson,If You're Not Back In Love By Monday,True,20.0
6611,Craig Mack,Get Down,False,40.0
6612,Bill Engvall With Special Guest Travis Tritt,Here's Your Sign (Get The Picture),False,22.0
6613,Bloodstone,Never Let You Go,False,32.0
6614,The Cure,Just Like Heaven,False,66.0
6615,Bob Seger,Katmandu,False,45.0
6616,The Doobie Brothers,It Keeps You Runnin',False,53.0
6617,Johnny Gill Featuring Roger Troutman,It's Your Body,False,29.0
6618,Martina McBride,Love's The Only House,False,27.0
6619,SHeDAISY,I Will...But,,
6620,Shana,I Want You,False,35.0
6621,Faith Hill,If My Heart Had Wings,False,36.0
6622,Terri Clark,I Wanna Do It All,False,41.0
6623,Trey Songz,Neighbors Know My Name,False,63.0
6624,Triumph,Hold On,False,41.0
6625,John Michael Montgomery,Hold On To Me,False,34.0
6626,Lighter Shade Of Brown,On A Sunday Afternoon,True,51.0
6627,21 Savage & Metro Boomin,No Heart,True,73.0
6628,Allan Sherman,"Hello Mudduh, Hello Fadduh! (A Letter From Camp)",False,22.0
6629,Neil Diamond,If You Know What I Mean,False,43.0
6630,The J. Geils Band,Must Of Got Lost,False,51.0
6631,Gene Pitney,Last Chance To Turn Around,False,9.0
6632,The Duprees,My Own True Love,False,30.0
6633,Carly Simon,Haven't Got Time For The Pain,False,35.0
6634,The Drifters,I Count The Tears,False,29.0
6635,Herman's Hermits,I Can Take Or Leave Your Loving,False,10.0
6636,Culture Club,Mistake No. 3,,
6637,Aretha Franklin,Master Of Eyes (The Deepness Of Your Eyes),False,19.0
6638,The Main Ingredient,Happiness Is Just Around The Bend,False,23.0
6639,Glen Campbell,I Wanna Live,False,19.0
6640,Tank,Maybe I Deserve,True,20.0
6641,Josh Gracin,Nothin' To Lose,False,60.0
6642,Vivian Green,Emotional Rollercoaster,False,46.0
6643,Boy George,"Live My Life (From The Film ""Hiding Out"")",,
6644,A Boogie Wit da Hoodie Featuring Kodak Black,Drowning,True,79.0
6645,Vic Dana,More,False,21.0
6646,Danzig,Mother,True,68.0
6647,Michael McDonald,I Gotta Try,False,47.0
6648,Chris de Burgh,High On Emotion,False,30.0
6649,ZZ Top,It's Only Love,False,31.0
6650,Anita Baker,No One In The World,False,47.0
6651,Amy Grant With Vince Gill,House Of Love,,
6652,Mark McGuinn,Mrs. Steven Rudy,False,36.0
6653,Trisha Yearwood,I Would've Loved You Anyway,False,30.0
6654,Gayle McCormick,It's A Cryin' Shame,,
6655,The Fray,Never Say Never,False,69.0
6656,Blake Shelton,Mine Would Be You,False,60.0
6657,Kirko Bangz,Drank In My Cup,True,63.0
6658,Brett Eldredge,Drunk On Your Love,False,64.0
6659,The Party,In My Dreams,,
6660,Blu Cantrell,Hit 'Em Up Style (Oops!),False,62.0
6661,Billy Currington,It Don't Hurt Like It Used To,False,67.0
6662,Drake,I'm Upset,True,75.0
6663,Martha & The Vandellas,I'm Ready For Love,False,29.0
6664,Tony Orlando & Dawn,Mornin' Beautiful,False,16.0
6665,Gerry And The Pacemakers,I'll Be There,False,17.0
6666,Doris Day,Everybody Loves A Lover,False,33.0
6667,Kenny Rogers,Love The World Away,False,40.0
6668,Fats Domino,Let The Four Winds Blow,False,31.0
6669,Sheryl Crow,My Favorite Mistake,False,48.0
6670,Elton John,Nobody Wins,False,25.0
6671,Disco Tex & The Sex-O-Letters,"I Wanna Dance Wit' Choo (Doo Dat Dance), Part I",,
6672,Paul Anka,Hello Young Lovers,,
6673,The Hollies,Long Dark Road,False,16.0
6674,David Bowie,Never Let Me Down,False,31.0
6675,D12,How Come,True,59.0
6676,OneRepublic,I Lived,False,67.0
6677,The Pointer Sisters,Goldmine,False,10.0
6678,Herman's Hermits,No Milk Today,False,42.0
6679,R. Kelly & Public Announcement,Honey Love,False,44.0
